,Date,Open,High,Low,Close
0,2017-08-17 04:00:00,301.13,302.57,298.0,301.61
1,2017-08-17 05:00:00,301.61,303.28,301.61,303.1
2,2017-08-17 06:00:00,302.4,304.44,302.21,302.68
3,2017-08-17 07:00:00,302.68,307.96,302.6,307.96
4,2017-08-17 08:00:00,307.95,309.97,307.39,308.62
5,2017-08-17 09:00:00,308.62,312.0,308.62,310.0
6,2017-08-17 10:00:00,310.0,310.97,309.22,309.3
7,2017-08-17 11:00:00,308.3,310.68,307.78,308.95
8,2017-08-17 12:00:00,308.95,310.51,307.98,308.62
9,2017-08-17 13:00:00,308.62,309.72,307.77,309.4
10,2017-08-17 14:00:00,307.77,308.45,305.49,306.5
11,2017-08-17 15:00:00,306.5,308.71,303.56,307.06
12,2017-08-17 16:00:00,307.06,312.18,302.22,308.0
13,2017-08-17 17:00:00,308.0,308.33,303.98,308.33
14,2017-08-17 18:00:00,308.33,311.53,298.96,309.1
15,2017-08-17 19:00:00,309.1,309.84,301.6,301.6
16,2017-08-17 20:00:00,302.11,309.4,299.01,304.79
17,2017-08-17 21:00:00,304.79,309.4,304.04,307.44
18,2017-08-17 22:00:00,309.41,310.74,303.44,306.74
19,2017-08-17 23:00:00,306.74,310.85,302.0,302.0
20,2017-08-18 00:00:00,302.0,306.2,297.6,301.19
21,2017-08-18 01:00:00,300.08,305.55,295.19,298.73
22,2017-08-18 02:00:00,298.73,304.7,298.73,300.52
23,2017-08-18 03:00:00,300.52,306.47,300.11,301.4
24,2017-08-18 04:00:00,301.4,302.85,298.41,301.8
25,2017-08-18 05:00:00,301.8,305.81,301.8,304.7
26,2017-08-18 06:00:00,304.7,307.0,303.21,307.0
27,2017-08-18 07:00:00,306.9,309.49,306.13,306.24
28,2017-08-18 08:00:00,306.24,310.85,303.79,304.23
29,2017-08-18 09:00:00,304.23,307.72,303.22,304.71
30,2017-08-18 10:00:00,304.73,311.06,304.73,308.88
31,2017-08-18 11:00:00,308.88,311.79,306.27,307.78
32,2017-08-18 12:00:00,307.78,310.29,305.73,308.47
33,2017-08-18 13:00:00,308.47,309.66,301.3,303.22
34,2017-08-18 14:00:00,303.22,303.22,296.92,298.52
35,2017-08-18 15:00:00,300.07,300.99,297.91,298.8
36,2017-08-18 16:00:00,298.8,301.11,298.4,299.21
